zipcode,SQMI,x,y,Pct_EV,Cport_den,Sex_ratio,Pct_30_60,Pct_60,Pct_bachelor,Med_incm_family,Ln_pop_den,Pking_den,Num_veh_hd,Num_wk_hd,Road_den,Pct_white,ev_cnt,FuelV_cnt,CS_cnt,CPort_cnt,FuelS_cnt,Pop,Pop_male,Pop_female,num_bachelor,pk_SQMI_cnt,pk_SQMI_sum,len_mile_cnt,len_mile_sum,year
60177,9.059004,-88.30921675,41.98964972,2.606882169,4.499730356,105.6,46,15.7,24.99458804,110043,7.843699,0.267226,2.1643,1.539,11.645423,78.62,50,1868,,,4,23097,11862,11235,5773,13,0.024208,502,105.495932,2020
60179,0.586234,-88.23052146,42.0770026,0,4.499730356,100.8600113,40.4,21.3,27.78634765,105872.56,8.013352657,0.188832,1.718985236,1.238925099,2.968197,66.35516403,0,8,,,0,,,,,1,0.001107,4,1.740058,2020
60180,20.105355,-88.5258191,42.22221497,1.204819277,4.499730356,100,33,21.1,11.6468039,99442,4.51979,0.138162,2.2397,1.4269,2.117143,98.92,3,246,,,0,1846,923,923,215,5,0.027778,72,42.565912,2020
60181,6.511479,-87.97606629,41.87668817,2.7696793,2.457199048,97.2,40.4,19.4,25.85731313,89462,8.413992,0.657347,1.8361,1.3134,17.04938,75.48,76,2668,3,16,3,29365,14474,14891,7593,17,0.042803,571,111.016681,2020
60183,0.057362,-88.40791117,41.93911135,6.25,4.499730356,100.8600113,40.4,21.3,27.78634765,105872.56,8.013352657,0,1.718985236,1.238925099,226.114902,66.35516403,1,15,,,0,,,,,,,2,12.970403,2020
60184,7.813089,-88.25670655,41.95223758,8.846153846,4.499730356,85.8,42.3,28.8,30.97670617,150000,5.746818,0,2.3661,1.3867,6.075311,86.23,23,237,,,0,2447,1130,1317,758,,,114,47.466946,2020
60185,30.75881,-88.21206205,41.8944963,2.055845351,0.097533032,97.8,41.2,17.7,20.06126865,96893,7.053391,0.389508,2.1502,1.4894,7.348641,68.49,67,3192,1,3,4,35581,17597,17984,7138,63,0.119808,776,226.035455,2020
60187,6.637118,-88.11274239,41.87248314,3.93979637,0.30133561,100.7,35,21.8,40.59639999,132129,8.403223,2.941894,1.8413,1.303,16.946189,86.39,89,2170,1,2,2,29611,14854,14757,12021,191,0.195257,530,112.473858,2020
60188,10.635516,-88.12908801,41.9154267,2.61229691,0.188049174,97.1,41.1,21.7,30.73881173,104332,8.268575,2.80638,1.9298,1.4094,14.582089,64.96,82,3057,1,2,8,41472,20436,21036,12748,190,0.298473,764,155.088042,2020
60189,11.231019,-88.11774087,41.83763509,6.844106464,4.499730356,97.5,37.6,25,47.31253493,127938,7.904143,1.306961,1.834,1.2609,10.996942,81.77,108,1470,,,2,30419,15018,15401,14392,75,0.146785,658,123.506859,2020
